Agency,Mode,Month,Riders
King County Department of Metro Transit,Streetcar Rail,3/1/2012,59118
King County Department of Metro Transit,Streetcar Rail,4/1/2012,59778
King County Department of Metro Transit,Streetcar Rail,5/1/2012,64337
King County Department of Metro Transit,Streetcar Rail,6/1/2012,66623
King County Department of Metro Transit,Streetcar Rail,7/1/2012,73888
King County Department of Metro Transit,Streetcar Rail,8/1/2012,72004
King County Department of Metro Transit,Streetcar Rail,9/1/2012,64966
King County Department of Metro Transit,Streetcar Rail,10/1/2012,66392
King County Department of Metro Transit,Streetcar Rail,11/1/2012,60077
King County Department of Metro Transit,Streetcar Rail,12/1/2012,57620
King County Department of Metro Transit,Streetcar Rail,1/1/2013,63220
King County Department of Metro Transit,Streetcar Rail,2/1/2013,57580
King County Department of Metro Transit,Streetcar Rail,3/1/2013,61571
King County Department of Metro Transit,Streetcar Rail,4/1/2013,61648
King County Department of Metro Transit,Streetcar Rail,5/1/2013,62850
King County Department of Metro Transit,Streetcar Rail,6/1/2013,66520
King County Department of Metro Transit,Streetcar Rail,7/1/2013,79079
King County Department of Metro Transit,Streetcar Rail,8/1/2013,74806
King County Department of Metro Transit,Streetcar Rail,9/1/2013,61316
King County Department of Metro Transit,Streetcar Rail,10/1/2013,63656
King County Department of Metro Transit,Streetcar Rail,11/1/2013,52657
King County Department of Metro Transit,Streetcar Rail,12/1/2013,56030
King County Department of Metro Transit,Streetcar Rail,1/1/2014,55111
King County Department of Metro Transit,Streetcar Rail,2/1/2014,54429
King County Department of Metro Transit,Streetcar Rail,3/1/2014,56426
King County Department of Metro Transit,Streetcar Rail,4/1/2014,57633
King County Department of Metro Transit,Streetcar Rail,5/1/2014,59732
King County Department of Metro Transit,Streetcar Rail,6/1/2014,60883
King County Department of Metro Transit,Streetcar Rail,7/1/2014,73593
King County Department of Metro Transit,Streetcar Rail,8/1/2014,66926
King County Department of Metro Transit,Streetcar Rail,9/1/2014,60070
King County Department of Metro Transit,Streetcar Rail,10/1/2014,58892
King County Department of Metro Transit,Streetcar Rail,11/1/2014,50266
King County Department of Metro Transit,Streetcar Rail,12/1/2014,53753
King County Department of Metro Transit,Streetcar Rail,1/1/2015,50344
King County Department of Metro Transit,Streetcar Rail,2/1/2015,47246
King County Department of Metro Transit,Streetcar Rail,3/1/2015,54687
King County Department of Metro Transit,Streetcar Rail,4/1/2015,55332
King County Department of Metro Transit,Streetcar Rail,5/1/2015,50942
King County Department of Metro Transit,Streetcar Rail,6/1/2015,56904
King County Department of Metro Transit,Streetcar Rail,7/1/2015,66040
King County Department of Metro Transit,Streetcar Rail,8/1/2015,59671
King County Department of Metro Transit,Streetcar Rail,9/1/2015,48938
King County Department of Metro Transit,Streetcar Rail,10/1/2015,47616
King County Department of Metro Transit,Streetcar Rail,11/1/2015,41518
King County Department of Metro Transit,Streetcar Rail,12/1/2015,42987
King County Department of Metro Transit,Streetcar Rail,1/1/2016,33718
King County Department of Metro Transit,Streetcar Rail,2/1/2016,80028
King County Department of Metro Transit,Streetcar Rail,3/1/2016,102931
King County Department of Metro Transit,Streetcar Rail,4/1/2016,117855
King County Department of Metro Transit,Streetcar Rail,5/1/2016,123330
King County Department of Metro Transit,Streetcar Rail,6/1/2016,120618
King County Department of Metro Transit,Streetcar Rail,7/1/2016,137614
King County Department of Metro Transit,Streetcar Rail,8/1/2016,145933
King County Department of Metro Transit,Streetcar Rail,9/1/2016,130320
King County Department of Metro Transit,Streetcar Rail,10/1/2016,128521
King County Department of Metro Transit,Streetcar Rail,11/1/2016,123585
King County Department of Metro Transit,Streetcar Rail,12/1/2016,113844
King County Department of Metro Transit,Streetcar Rail,1/1/2017,125007
King County Department of Metro Transit,Streetcar Rail,2/1/2017,114284
King County Department of Metro Transit,Streetcar Rail,3/1/2017,76845
King County Department of Metro Transit,Streetcar Rail,4/1/2017,119668
King County Department of Metro Transit,Streetcar Rail,5/1/2017,127207
King County Department of Metro Transit,Streetcar Rail,6/1/2017,121470
King County Department of Metro Transit,Streetcar Rail,7/1/2017,119087
King County Department of Metro Transit,Streetcar Rail,8/1/2017,130995
King County Department of Metro Transit,Streetcar Rail,9/1/2017,124842
King County Department of Metro Transit,Streetcar Rail,10/1/2017,132530
King County Department of Metro Transit,Streetcar Rail,11/1/2017,117858
King County Department of Metro Transit,Streetcar Rail,12/1/2017,107714
King County Department of Metro Transit,Streetcar Rail,1/1/2018,121995
King County Department of Metro Transit,Streetcar Rail,2/1/2018,115775
King County Department of Metro Transit,Streetcar Rail,3/1/2018,135332
King County Department of Metro Transit,Streetcar Rail,4/1/2018,128142
King County Department of Metro Transit,Streetcar Rail,5/1/2018,149821
King County Department of Metro Transit,Streetcar Rail,6/1/2018,146824
King County Department of Metro Transit,Streetcar Rail,7/1/2018,154060
King County Department of Metro Transit,Streetcar Rail,8/1/2018,160889
King County Department of Metro Transit,Streetcar Rail,9/1/2018,140896
King County Department of Metro Transit,Streetcar Rail,10/1/2018,161091
King County Department of Metro Transit,Streetcar Rail,11/1/2018,139658
King County Department of Metro Transit,Streetcar Rail,12/1/2018,131185
King County Department of Metro Transit,Streetcar Rail,1/1/2019,144077
King County Department of Metro Transit,Streetcar Rail,2/1/2019,137458
King County Department of Metro Transit,Streetcar Rail,3/1/2019,153233
King County Department of Metro Transit,Streetcar Rail,4/1/2019,155732
King County Department of Metro Transit,Streetcar Rail,5/1/2019,161596
King County Department of Metro Transit,Streetcar Rail,6/1/2019,156309
King County Department of Metro Transit,Streetcar Rail,7/1/2019,168529
King County Department of Metro Transit,Streetcar Rail,8/1/2019,169526
King County Department of Metro Transit,Streetcar Rail,9/1/2019,156878
King County Department of Metro Transit,Streetcar Rail,10/1/2019,175512
King County Department of Metro Transit,Streetcar Rail,11/1/2019,147966
King County Department of Metro Transit,Streetcar Rail,12/1/2019,136593
King County Department of Metro Transit,Streetcar Rail,1/1/2020,151399
King County Department of Metro Transit,Streetcar Rail,2/1/2020,145578
King County Department of Metro Transit,Streetcar Rail,3/1/2020,85835
King County Department of Metro Transit,Streetcar Rail,4/1/2020,34918
King County Department of Metro Transit,Streetcar Rail,5/1/2020,34451
King County Department of Metro Transit,Streetcar Rail,6/1/2020,30443
King County Department of Metro Transit,Streetcar Rail,7/1/2020,35696
King County Department of Metro Transit,Streetcar Rail,8/1/2020,42601
King County Department of Metro Transit,Streetcar Rail,9/1/2020,45765
King County Department of Metro Transit,Streetcar Rail,10/1/2020,50587
King County Department of Metro Transit,Streetcar Rail,11/1/2020,44246
King County Department of Metro Transit,Streetcar Rail,12/1/2020,47924
King County Department of Metro Transit,Streetcar Rail,1/1/2021,51342
King County Department of Metro Transit,Streetcar Rail,2/1/2021,49223
King County Department of Metro Transit,Streetcar Rail,3/1/2021,57854
King County Department of Metro Transit,Streetcar Rail,4/1/2021,63135
King County Department of Metro Transit,Streetcar Rail,5/1/2021,62381
King County Department of Metro Transit,Streetcar Rail,6/1/2021,67908
King County Department of Metro Transit,Streetcar Rail,7/1/2021,78111
King County Department of Metro Transit,Streetcar Rail,8/1/2021,78405
King County Department of Metro Transit,Streetcar Rail,9/1/2021,77844
King County Department of Metro Transit,Streetcar Rail,10/1/2021,87339
King County Department of Metro Transit,Streetcar Rail,11/1/2021,77713
King County Department of Metro Transit,Streetcar Rail,12/1/2021,78698
King County Department of Metro Transit,Streetcar Rail,1/1/2022,72438
King County Department of Metro Transit,Streetcar Rail,2/1/2022,73347
King County Department of Metro Transit,Streetcar Rail,3/1/2022,85052
King County Department of Metro Transit,Streetcar Rail,4/1/2022,86935
King County Department of Metro Transit,Streetcar Rail,5/1/2022,89944
King County Department of Metro Transit,Streetcar Rail,6/1/2022,91859
King County Department of Metro Transit,Streetcar Rail,7/1/2022,95344
King County Department of Metro Transit,Streetcar Rail,8/1/2022,103956
King County Department of Metro Transit,Streetcar Rail,9/1/2022,102142
King County Department of Metro Transit,Streetcar Rail,10/1/2022,108988
King County Department of Metro Transit,Streetcar Rail,11/1/2022,97698
King County Department of Metro Transit,Streetcar Rail,12/1/2022,85882
King County Department of Metro Transit,Streetcar Rail,1/1/2023,95549
King County Department of Metro Transit,Trolleybus,1/1/2012,1481612
King County Department of Metro Transit,Trolleybus,2/1/2012,1651455
King County Department of Metro Transit,Trolleybus,3/1/2012,1670664
King County Department of Metro Transit,Trolleybus,4/1/2012,1630579
King County Department of Metro Transit,Trolleybus,5/1/2012,1768398
King County Department of Metro Transit,Trolleybus,6/1/2012,1614917
King County Department of Metro Transit,Trolleybus,7/1/2012,1513765
King County Department of Metro Transit,Trolleybus,8/1/2012,1583514
King County Department of Metro Transit,Trolleybus,9/1/2012,1370072
King County Department of Metro Transit,Trolleybus,10/1/2012,1767107
King County Department of Metro Transit,Trolleybus,11/1/2012,1573153
King County Department of Metro Transit,Trolleybus,12/1/2012,1345365
King County Department of Metro Transit,Trolleybus,1/1/2013,1604404
King County Department of Metro Transit,Trolleybus,2/1/2013,1447369
King County Department of Metro Transit,Trolleybus,3/1/2013,1566917
King County Department of Metro Transit,Trolleybus,4/1/2013,1630773
King County Department of Metro Transit,Trolleybus,5/1/2013,1712355
King County Department of Metro Transit,Trolleybus,6/1/2013,1483026
King County Department of Metro Transit,Trolleybus,7/1/2013,1641147
King County Department of Metro Transit,Trolleybus,8/1/2013,1594713
King County Department of Metro Transit,Trolleybus,9/1/2013,1542464
King County Department of Metro Transit,Trolleybus,10/1/2013,1823746
King County Department of Metro Transit,Trolleybus,11/1/2013,1511494
King County Department of Metro Transit,Trolleybus,12/1/2013,1449622
King County Department of Metro Transit,Trolleybus,1/1/2014,1637843
King County Department of Metro Transit,Trolleybus,2/1/2014,1484674
King County Department of Metro Transit,Trolleybus,3/1/2014,1580303
King County Department of Metro Transit,Trolleybus,4/1/2014,1667687
King County Department of Metro Transit,Trolleybus,5/1/2014,1732383
King County Department of Metro Transit,Trolleybus,6/1/2014,1580423
King County Department of Metro Transit,Trolleybus,7/1/2014,1760508
King County Department of Metro Transit,Trolleybus,8/1/2014,1621728
King County Department of Metro Transit,Trolleybus,9/1/2014,1637970
King County Department of Metro Transit,Trolleybus,10/1/2014,1810498
King County Department of Metro Transit,Trolleybus,11/1/2014,1442113
King County Department of Metro Transit,Trolleybus,12/1/2014,1508253
King County Department of Metro Transit,Trolleybus,1/1/2015,1630871
King County Department of Metro Transit,Trolleybus,2/1/2015,1528026
King County Department of Metro Transit,Trolleybus,3/1/2015,1635368
King County Department of Metro Transit,Trolleybus,4/1/2015,1672096
King County Department of Metro Transit,Trolleybus,5/1/2015,1562088
King County Department of Metro Transit,Trolleybus,6/1/2015,1593357
King County Department of Metro Transit,Trolleybus,7/1/2015,1651431
King County Department of Metro Transit,Trolleybus,8/1/2015,1472053
King County Department of Metro Transit,Trolleybus,9/1/2015,1481106
King County Department of Metro Transit,Trolleybus,10/1/2015,1615114
King County Department of Metro Transit,Trolleybus,11/1/2015,1467139
King County Department of Metro Transit,Trolleybus,12/1/2015,1460634
King County Department of Metro Transit,Trolleybus,1/1/2016,1519362
King County Department of Metro Transit,Trolleybus,2/1/2016,1503004
King County Department of Metro Transit,Trolleybus,3/1/2016,1720846
King County Department of Metro Transit,Trolleybus,4/1/2016,1545943
King County Department of Metro Transit,Trolleybus,5/1/2016,1584868
King County Department of Metro Transit,Trolleybus,6/1/2016,1612403
King County Department of Metro Transit,Trolleybus,7/1/2016,1557497
King County Department of Metro Transit,Trolleybus,8/1/2016,1652265
King County Department of Metro Transit,Trolleybus,9/1/2016,1594090
King County Department of Metro Transit,Trolleybus,10/1/2016,1573994
King County Department of Metro Transit,Trolleybus,11/1/2016,1598774
King County Department of Metro Transit,Trolleybus,12/1/2016,1536483
King County Department of Metro Transit,Trolleybus,1/1/2017,1594111
King County Department of Metro Transit,Trolleybus,2/1/2017,1467862
King County Department of Metro Transit,Trolleybus,3/1/2017,1745029
King County Department of Metro Transit,Trolleybus,4/1/2017,1514973
King County Department of Metro Transit,Trolleybus,5/1/2017,1751874
King County Department of Metro Transit,Trolleybus,6/1/2017,1692505
King County Department of Metro Transit,Trolleybus,7/1/2017,1550831
King County Department of Metro Transit,Trolleybus,8/1/2017,1676653
King County Department of Metro Transit,Trolleybus,9/1/2017,1562301
King County Department of Metro Transit,Trolleybus,10/1/2017,1675041
King County Department of Metro Transit,Trolleybus,11/1/2017,1560342
King County Department of Metro Transit,Trolleybus,12/1/2017,1547625
King County Department of Metro Transit,Trolleybus,1/1/2018,1536997
King County Department of Metro Transit,Trolleybus,2/1/2018,1364943
King County Department of Metro Transit,Trolleybus,3/1/2018,1520070
King County Department of Metro Transit,Trolleybus,4/1/2018,1463571
King County Department of Metro Transit,Trolleybus,5/1/2018,1653052
King County Department of Metro Transit,Trolleybus,6/1/2018,1470823
King County Department of Metro Transit,Trolleybus,7/1/2018,1499501
King County Department of Metro Transit,Trolleybus,8/1/2018,1562156
King County Department of Metro Transit,Trolleybus,9/1/2018,1403287
King County Department of Metro Transit,Trolleybus,10/1/2018,1653967
King County Department of Metro Transit,Trolleybus,11/1/2018,1534462
King County Department of Metro Transit,Trolleybus,12/1/2018,1287913
King County Department of Metro Transit,Trolleybus,1/1/2019,1617828
King County Department of Metro Transit,Trolleybus,2/1/2019,1393520
King County Department of Metro Transit,Trolleybus,3/1/2019,1535754
King County Department of Metro Transit,Trolleybus,4/1/2019,1447259
King County Department of Metro Transit,Trolleybus,5/1/2019,1469234
King County Department of Metro Transit,Trolleybus,6/1/2019,1338321
King County Department of Metro Transit,Trolleybus,7/1/2019,1452080
King County Department of Metro Transit,Trolleybus,8/1/2019,1430826
King County Department of Metro Transit,Trolleybus,9/1/2019,1392871
King County Department of Metro Transit,Trolleybus,10/1/2019,1631459
King County Department of Metro Transit,Trolleybus,11/1/2019,1359154
King County Department of Metro Transit,Trolleybus,12/1/2019,1305145
King County Department of Metro Transit,Trolleybus,1/1/2020,1497300
King County Department of Metro Transit,Trolleybus,2/1/2020,1389997
King County Department of Metro Transit,Trolleybus,3/1/2020,863508
King County Department of Metro Transit,Trolleybus,4/1/2020,495138
King County Department of Metro Transit,Trolleybus,5/1/2020,458006
King County Department of Metro Transit,Trolleybus,6/1/2020,274535
King County Department of Metro Transit,Trolleybus,7/1/2020,539670
King County Department of Metro Transit,Trolleybus,8/1/2020,570083
King County Department of Metro Transit,Trolleybus,9/1/2020,593869
King County Department of Metro Transit,Trolleybus,10/1/2020,630329
King County Department of Metro Transit,Trolleybus,11/1/2020,510830
King County Department of Metro Transit,Trolleybus,12/1/2020,561898
King County Department of Metro Transit,Trolleybus,1/1/2021,469084
King County Department of Metro Transit,Trolleybus,2/1/2021,440302
King County Department of Metro Transit,Trolleybus,3/1/2021,576453
King County Department of Metro Transit,Trolleybus,4/1/2021,592107
King County Department of Metro Transit,Trolleybus,5/1/2021,608223
King County Department of Metro Transit,Trolleybus,6/1/2021,649711
King County Department of Metro Transit,Trolleybus,7/1/2021,747003
King County Department of Metro Transit,Trolleybus,8/1/2021,743959
King County Department of Metro Transit,Trolleybus,9/1/2021,812494
King County Department of Metro Transit,Trolleybus,10/1/2021,812920
King County Department of Metro Transit,Trolleybus,11/1/2021,830823
King County Department of Metro Transit,Trolleybus,12/1/2021,693107
King County Department of Metro Transit,Trolleybus,1/1/2022,764676
King County Department of Metro Transit,Trolleybus,2/1/2022,722067
King County Department of Metro Transit,Trolleybus,3/1/2022,820847
King County Department of Metro Transit,Trolleybus,4/1/2022,725677
King County Department of Metro Transit,Trolleybus,5/1/2022,800882
King County Department of Metro Transit,Trolleybus,6/1/2022,820791
King County Department of Metro Transit,Trolleybus,7/1/2022,788387
King County Department of Metro Transit,Trolleybus,8/1/2022,819111
King County Department of Metro Transit,Trolleybus,9/1/2022,847288
King County Department of Metro Transit,Trolleybus,10/1/2022,846428
King County Department of Metro Transit,Trolleybus,11/1/2022,868088
King County Department of Metro Transit,Trolleybus,12/1/2022,750801
King County Department of Metro Transit,Trolleybus,1/1/2023,878388
King County Department of Metro Transit,Vanpool,1/1/2012,257615
King County Department of Metro Transit,Vanpool,2/1/2012,297424
King County Department of Metro Transit,Vanpool,3/1/2012,309623
King County Department of Metro Transit,Vanpool,4/1/2012,295353
King County Department of Metro Transit,Vanpool,5/1/2012,296346
King County Department of Metro Transit,Vanpool,6/1/2012,272955
King County Department of Metro Transit,Vanpool,7/1/2012,264872
King County Department of Metro Transit,Vanpool,8/1/2012,316056
King County Department of Metro Transit,Vanpool,9/1/2012,262347
King County Department of Metro Transit,Vanpool,10/1/2012,310426
King County Department of Metro Transit,Vanpool,11/1/2012,310574
King County Department of Metro Transit,Vanpool,12/1/2012,248997
King County Department of Metro Transit,Vanpool,1/1/2013,301097
King County Department of Metro Transit,Vanpool,2/1/2013,266878
King County Department of Metro Transit,Vanpool,3/1/2013,272883
King County Department of Metro Transit,Vanpool,4/1/2013,312344
King County Department of Metro Transit,Vanpool,5/1/2013,295920
King County Department of Metro Transit,Vanpool,6/1/2013,295314
King County Department of Metro Transit,Vanpool,7/1/2013,287815
King County Department of Metro Transit,Vanpool,8/1/2013,333743
King County Department of Metro Transit,Vanpool,9/1/2013,306298
King County Department of Metro Transit,Vanpool,10/1/2013,304941
King County Department of Metro Transit,Vanpool,11/1/2013,279364
King County Department of Metro Transit,Vanpool,12/1/2013,267217
King County Department of Metro Transit,Vanpool,1/1/2014,302932
King County Department of Metro Transit,Vanpool,2/1/2014,267390
King County Department of Metro Transit,Vanpool,3/1/2014,304690
King County Department of Metro Transit,Vanpool,4/1/2014,281592
King County Department of Metro Transit,Vanpool,5/1/2014,269318
King County Department of Metro Transit,Vanpool,6/1/2014,308563
King County Department of Metro Transit,Vanpool,7/1/2014,307246
King County Department of Metro Transit,Vanpool,8/1/2014,265145
King County Department of Metro Transit,Vanpool,9/1/2014,293799
King County Department of Metro Transit,Vanpool,10/1/2014,298234
King County Department of Metro Transit,Vanpool,11/1/2014,253949
King County Department of Metro Transit,Vanpool,12/1/2014,261924
King County Department of Metro Transit,Vanpool,1/1/2015,267823
King County Department of Metro Transit,Vanpool,2/1/2015,270993
King County Department of Metro Transit,Vanpool,3/1/2015,302357
King County Department of Metro Transit,Vanpool,4/1/2015,292521
King County Department of Metro Transit,Vanpool,5/1/2015,263327
King County Department of Metro Transit,Vanpool,6/1/2015,313942
King County Department of Metro Transit,Vanpool,7/1/2015,324946
King County Department of Metro Transit,Vanpool,8/1/2015,292477
King County Department of Metro Transit,Vanpool,9/1/2015,299367
King County Department of Metro Transit,Vanpool,10/1/2015,357162
King County Department of Metro Transit,Vanpool,11/1/2015,283609
King County Department of Metro Transit,Vanpool,12/1/2015,292874
King County Department of Metro Transit,Vanpool,1/1/2016,292087
King County Department of Metro Transit,Vanpool,2/1/2016,261458
King County Department of Metro Transit,Vanpool,3/1/2016,311664
King County Department of Metro Transit,Vanpool,4/1/2016,289110
King County Department of Metro Transit,Vanpool,5/1/2016,326320
King County Department of Metro Transit,Vanpool,6/1/2016,305978
King County Department of Metro Transit,Vanpool,7/1/2016,304016
King County Department of Metro Transit,Vanpool,8/1/2016,323814
King County Department of Metro Transit,Vanpool,9/1/2016,285098
King County Department of Metro Transit,Vanpool,10/1/2016,330304
King County Department of Metro Transit,Vanpool,11/1/2016,266661
King County Department of Metro Transit,Vanpool,12/1/2016,244028
King County Department of Metro Transit,Vanpool,1/1/2017,318300
King County Department of Metro Transit,Vanpool,2/1/2017,248914
King County Department of Metro Transit,Vanpool,3/1/2017,330696
King County Department of Metro Transit,Vanpool,4/1/2017,268437
King County Department of Metro Transit,Vanpool,5/1/2017,297470
King County Department of Metro Transit,Vanpool,6/1/2017,340677
King County Department of Metro Transit,Vanpool,7/1/2017,279177
King County Department of Metro Transit,Vanpool,8/1/2017,339151
King County Department of Metro Transit,Vanpool,9/1/2017,307764
King County Department of Metro Transit,Vanpool,10/1/2017,338969
King County Department of Metro Transit,Vanpool,11/1/2017,284999
King County Department of Metro Transit,Vanpool,12/1/2017,271868
King County Department of Metro Transit,Vanpool,1/1/2018,298257
King County Department of Metro Transit,Vanpool,2/1/2018,273215
King County Department of Metro Transit,Vanpool,3/1/2018,298249
King County Department of Metro Transit,Vanpool,4/1/2018,290224
King County Department of Metro Transit,Vanpool,5/1/2018,301884
King County Department of Metro Transit,Vanpool,6/1/2018,287377
King County Department of Metro Transit,Vanpool,7/1/2018,288663
King County Department of Metro Transit,Vanpool,8/1/2018,306329
King County Department of Metro Transit,Vanpool,9/1/2018,269316
King County Department of Metro Transit,Vanpool,10/1/2018,313643
King County Department of Metro Transit,Vanpool,11/1/2018,281341
King County Department of Metro Transit,Vanpool,12/1/2018,256240
King County Department of Metro Transit,Vanpool,1/1/2019,281132
King County Department of Metro Transit,Vanpool,2/1/2019,234024
King County Department of Metro Transit,Vanpool,3/1/2019,275167
King County Department of Metro Transit,Vanpool,4/1/2019,288535
King County Department of Metro Transit,Vanpool,5/1/2019,291077
King County Department of Metro Transit,Vanpool,6/1/2019,267982
King County Department of Metro Transit,Vanpool,7/1/2019,286244
King County Department of Metro Transit,Vanpool,8/1/2019,287285
King County Department of Metro Transit,Vanpool,9/1/2019,270832
King County Department of Metro Transit,Vanpool,10/1/2019,298239
King County Department of Metro Transit,Vanpool,11/1/2019,261463
King County Department of Metro Transit,Vanpool,12/1/2019,258206
King County Department of Metro Transit,Vanpool,1/1/2020,323691
King County Department of Metro Transit,Vanpool,2/1/2020,309265
King County Department of Metro Transit,Vanpool,3/1/2020,150354
King County Department of Metro Transit,Vanpool,4/1/2020,32952
King County Department of Metro Transit,Vanpool,5/1/2020,38043
King County Department of Metro Transit,Vanpool,6/1/2020,26597
King County Department of Metro Transit,Vanpool,7/1/2020,28512
King County Department of Metro Transit,Vanpool,8/1/2020,32361
King County Department of Metro Transit,Vanpool,9/1/2020,27504
King County Department of Metro Transit,Vanpool,10/1/2020,42268
King County Department of Metro Transit,Vanpool,11/1/2020,37623
King County Department of Metro Transit,Vanpool,12/1/2020,35632
King County Department of Metro Transit,Vanpool,1/1/2021,36860
King County Department of Metro Transit,Vanpool,2/1/2021,34949
King County Department of Metro Transit,Vanpool,3/1/2021,42207
King County Department of Metro Transit,Vanpool,4/1/2021,41359
King County Department of Metro Transit,Vanpool,5/1/2021,40110
King County Department of Metro Transit,Vanpool,6/1/2021,43649
King County Department of Metro Transit,Vanpool,7/1/2021,45237
King County Department of Metro Transit,Vanpool,8/1/2021,47013
King County Department of Metro Transit,Vanpool,9/1/2021,47307
King County Department of Metro Transit,Vanpool,10/1/2021,47293
King County Department of Metro Transit,Vanpool,11/1/2021,45758
King County Department of Metro Transit,Vanpool,12/1/2021,40418
King County Department of Metro Transit,Vanpool,1/1/2022,45683
King County Department of Metro Transit,Vanpool,2/1/2022,46981
King County Department of Metro Transit,Vanpool,3/1/2022,58184
King County Department of Metro Transit,Vanpool,4/1/2022,57438
King County Department of Metro Transit,Vanpool,5/1/2022,66894
King County Department of Metro Transit,Vanpool,6/1/2022,60965
King County Department of Metro Transit,Vanpool,7/1/2022,62221
King County Department of Metro Transit,Vanpool,8/1/2022,58041
King County Department of Metro Transit,Vanpool,9/1/2022,67577
King County Department of Metro Transit,Vanpool,10/1/2022,59411
King County Department of Metro Transit,Vanpool,11/1/2022,60925
King County Department of Metro Transit,Vanpool,12/1/2022,62638
King County Department of Metro Transit,Vanpool,1/1/2023,57165
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2012,7184
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2012,8394
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2012,9099
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2012,8640
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2012,9342
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2012,8590
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2012,8530
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2012,9553
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2012,7925
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2012,10889
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2012,9023
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2012,8402
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2013,9689
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2013,8830
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2013,9856
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2013,10219
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2013,10289
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2013,9428
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2013,10263
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2013,10196
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2013,8982
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2013,9925
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2013,8196
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2013,8704
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2014,9605
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2014,8507
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2014,9389
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2014,10095
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2014,9863
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2014,9158
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2014,9804
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2014,9843
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2014,9702
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2014,10478
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2014,8053
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2014,9533
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2015,9107
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2015,8757
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2015,10214
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2015,10300
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2015,9174
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2015,9975
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2015,9645
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2015,9254
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2015,9507
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2015,9853
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2015,8256
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2015,9322
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2016,8284
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2016,8948
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2016,9808
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2016,9287
Pierce County Transportation Benefit Area Authority,Demand Response,5/1/2016,9297
Pierce County Transportation Benefit Area Authority,Demand Response,6/1/2016,9429
Pierce County Transportation Benefit Area Authority,Demand Response,7/1/2016,8348
Pierce County Transportation Benefit Area Authority,Demand Response,8/1/2016,9255
Pierce County Transportation Benefit Area Authority,Demand Response,9/1/2016,8580
Pierce County Transportation Benefit Area Authority,Demand Response,10/1/2016,8556
Pierce County Transportation Benefit Area Authority,Demand Response,11/1/2016,7798
Pierce County Transportation Benefit Area Authority,Demand Response,12/1/2016,8432
Pierce County Transportation Benefit Area Authority,Demand Response,1/1/2017,7889
Pierce County Transportation Benefit Area Authority,Demand Response,2/1/2017,7427
Pierce County Transportation Benefit Area Authority,Demand Response,3/1/2017,9365
Pierce County Transportation Benefit Area Authority,Demand Response,4/1/2017,8088
